name,state,city,tee,rating,slope,yardage
Devil's Ridge Golf Club,MI,Oxford,Players,69.3,115,5395
Devil's Ridge Golf Club,MI,Oxford,Forward,63.7,109,4132
Forest Dunes Golf Resort,MI,Roscommon,Championship,75.2,146,7116
Forest Dunes Golf Resort,MI,Roscommon,Back,72.4,139,6550
Forest Dunes Golf Resort,MI,Roscommon,Middle,69.2,127,5888
Forest Dunes Golf Resort,MI,Roscommon,Forward,69.9,136,4993
Big Al's Greens & Grille,MI,Newport,Black,73.7,130,6876
Big Al's Greens & Grille,MI,Newport,Blue,71.8,123,6589
Big Al's Greens & Grille,MI,Newport,White,71.0,121,6269
Big Al's Greens & Grille,MI,Newport,Gold,66.6,117,5494
Big Al's Greens & Grille,MI,Newport,Red,69.0,118,5287
Indian Hills Golf Course,MI,Okemos,Blue,62.6,103,
Indian Hills Golf Course,MI,Okemos,White,60.8,99,
Indian Hills Golf Course,MI,Okemos,Red,59.0,94,
Beacon Hill Golf and Banquet Facility,MI,Commerce Township,Black,72.0,140,6681
Beacon Hill Golf and Banquet Facility,MI,Commerce Township,Blue,69.3,132,6332
Beacon Hill Golf and Banquet Facility,MI,Commerce Township,White,68.0,126,5994
Beacon Hill Golf and Banquet Facility,MI,Commerce Township,Gold,69.8,120,5463
Beacon Hill Golf and Banquet Facility,MI,Commerce Township,Red,64.7,114,4691
Glen Eagle Golf Club,MI,Hudsonville,Blue,69.8,131,6006
Glen Eagle Golf Club,MI,Hudsonville,Green,67.5,126,5527
Glen Eagle Golf Club,MI,Hudsonville,White,64.2,117,4788
Glen Eagle Golf Club,MI,Hudsonville,Tournament,61.5,109,4119
Glen Eagle Golf Club,MI,Hudsonville,Yellow,60.9,108,3998
Fellows Creek Municipal Golf Club,MI,Canton,Blue,71.5,132,6521
Fellows Creek Municipal Golf Club,MI,Canton,White,69.3,126,5960
Fellows Creek Municipal Golf Club,MI,Canton,Yellow,65.1,106,5085
Fellows Creek Municipal Golf Club,MI,Canton,Red,64.0,102,4925
The Captain's Club at Woodfield,MI,Grand Blanc,Black,73.3,133,6765
The Captain's Club at Woodfield,MI,Grand Blanc,Blue,71.0,126,6121
The Captain's Club at Woodfield,MI,Grand Blanc,White,68.3,121,5501
The Captain's Club at Woodfield,MI,Grand Blanc,Red,70.3,123,5047
Selfridge ANGB Golf Course,MI,Harrison Township,Back,70.6,122,6477
Selfridge ANGB Golf Course,MI,Harrison Township,Middle,67.5,113,5910
Selfridge ANGB Golf Course,MI,Harrison Township,Forward,67.7,116,5001
El Dorado Golf Course,MI,Mason,Blue,71.9,125,
El Dorado Golf Course,MI,Mason,White,70.2,121,
El Dorado Golf Course,MI,Mason,Gold,67.9,116,
El Dorado Golf Course,MI,Mason,Red,65.0,110,
Wabeek Country Club,MI,Bloomfield Hills,Gold,73.5,143,
Wabeek Country Club,MI,Bloomfield Hills,Black,71.0,141,
Wabeek Country Club,MI,Bloomfield Hills,Blue,70.3,136,
Wabeek Country Club,MI,Bloomfield Hills,White,67.4,128,
Wabeek Country Club,MI,Bloomfield Hills,Red,65.8,122,
Heathers Club of Bloomfield,MI,Bloomfield Township,Black,71.4,136,
Heathers Club of Bloomfield,MI,Bloomfield Township,Blue,69.4,129,
Heathers Club of Bloomfield,MI,Bloomfield Township,White,67.6,126,
Heathers Club of Bloomfield,MI,Bloomfield Township,Gold,66.4,124,
Heathers Club of Bloomfield,MI,Bloomfield Township,Red,63.8,119,
Twin Lakes Golf & Swim Club,MI,Oakland,Black,71.0,122,6745
Twin Lakes Golf & Swim Club,MI,Oakland,Gold,69.2,117,6316
Twin Lakes Golf & Swim Club,MI,Oakland,Blue,67.2,110,6009
Twin Lakes Golf & Swim Club,MI,Oakland,White,70.0,113,5404
Twin Lakes Golf & Swim Club,MI,Oakland,Silver,65.9,109,4701
Swartz Creek Golf Course,MI,Flint,Blue,71.6,119,6658
Knollwood Country Club - West Course,MI,West Bloomfield,Championship,73.5,139,6801
The Bear Golf Course,MI,Acme,Black,76.1,150,7078
The Bear Golf Course,MI,Acme,Blue,73.3,147,6601
The Bear Golf Course,MI,Acme,Blue/White,72.0,144,6347
The Bear Golf Course,MI,Acme,White,71.1,139,6122
The Bear Golf Course,MI,Acme,White/Yellow,69.2,134,5688
The Bear Golf Course,MI,Acme,Yellow,67.0,128,5281
