"name","state","city","phone","website","address"
"El Conquistador Golf Tennis Conquistador Course","AZ","Tucson","520-544-1801","http://www.elcongolf.com/","11135 North Desert Flower Drive, 85737"
"El Rio Golf Club","AZ","Mohave Valley","(928) 768-3574","http://www.elriogolf.com","1 Paseo El Rio, 86440"
"El Rio Golf Course","AZ","Tucson","(520) 791-4653","http://tucsoncitygolf.com/el-rio","West Speedway Boulevard, 85703"
"Elephant Rocks At Williams","AZ","Williams","(928) 635-4935","http://www.elephant-rocks.com","2200 Country Club Drive, 86046"
"Emerald Canyon Golf Course","AZ","Parker","(928) 667-3366","http://emeraldcanyongolf.com","7351 Riverside Drive, 85344"
"Encanterra Country Club","AZ","San Tan Valley","1064649425","http://mytrilogylife.com/encanterra","36460 North Encanterra Drive, 85140"
"Encanto Golf Course","AZ","Phoenix","1775572168","https://www.phoenix.gov/parks/golf/phoenix-golf-courses/encanto-18","2775 North 15th Avenue, 85007"
"Falcon Dunes Golf Course","AZ","Waddell","9999999999","http://56fss.com/falcon-dunes-golf-course","15100 West Northern Avenue, 85355"
"Falcon Golf Club","AZ","Litchfield Park","","","West Super Sabre Street, 85340"
"Faldo At Wildfire Golf Club At Desert Ridge Resort","AZ","Phoenix","8252025122","http://wildfiregolf.com","21320 North 56th Street, 85054"
"Firerock Country Club","AZ","Fountain Hills","(480) 836-8100","http://www.firerockcc.com","North Shadow Ridge Trail, 85268"
"Flagstaff Ranch Golf Club","AZ","Flagstaff","(928) 226-3100","http://flagstaffranch.com","3605 South Flagstaff Ranch Road, 86005"
"Foothills Golf Club","AZ","Phoenix","11219560899","http://www.thefoothillsgc.com/","2201 East Clubhouse Drive, 85048"
"Foothills Golf Club (Phoenix)","AZ","Phoenix","(480) 460-4653","https://www.thefoothillsgc.com/","2201 E Clubhouse Dr, Phoenix, AZ 85048, USA, 85048"
"Forest Highlands Golf Club","AZ","Flagstaff","+19285255200","http://www.fhgc.com/","86005"
"Forty Niner Country Club","AZ","Tucson","+15207494001","http://www.fortyninercc.com/","North Forty Niner Drive, 85749"
"Founder's Course at Verrado Golf Club","AZ","Buckeye","(623) 388-3000","https://verradogolfclub.com/founders","4242 N Golf Dr, Buckeye, AZ 85396, USA, 85396"
"Fountain Of The Sun Country Club","AZ","Mesa","16480939127","http://foscc-az.com","South 80th Street West, 85208"
"Francisco Grande Hotel and Golf Resort","AZ","Casa Grande","(520) 836-6444","http://www.franciscogrande.com/","12684 W Gila Bend Hwy, Casa Grande, AZ 85193, USA, 85193"
"Francisco Grande Resort Golf Club","AZ","Casa Grande","15417685130","http://www.franciscogrande.com/","26000 Gila Bend Highway, 85222"
"Fred Enke Golf Course","AZ","Tucson","(520) 791-4653","http://tucsoncitygolf.com/fred-enke","South Manitoba Avenue, 85730"
"Gallery Golf Club North Golf Course","AZ","Marana","520-579-4116","http://www.clubsofdovemountain.com","North Rocking Ridge Court, 85658"
"Gallery Golf Club South Golf Course","AZ","Marana","520-579-4116","http://www.clubsofdovemountain.com","Tortolita Preserve Loop, 85658"
"General William Blanchard Golf Course","AZ","Tucson","(520) 228-3734","","3465 Craycroft Rd, Tucson, AZ 85707, USA, 85708"
"Geronimo Course At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://www.desertmountain.com","Golf Course Maintenance Yard Driveway, 85262"
"Golden Hills Golf Club","AZ","Mesa","16350994536","http://arizonagolfresort.com/","East Golden Hills Way, 85206"
"Golf Club Of Estrella","AZ","Goodyear","623-386-2600","http://www.estrellagolf.com/","11800 South Golf Club Drive, 85338"
"Grand Canyon University Golf Course","AZ","Phoenix","6666666667","http://www.gcugolf.com/","West Indian School Road, 85031"
"Grandview Golf Course At Sun City West","AZ","Sun City West","3333333333","http://suncitywest.com/grandviewgolfcourse","14260 West Meeker Boulevard, 85375"
"Granite Falls Golf Club - South","AZ","Surprise","(623) 546-7575","https://livegrandaz.com/golf","15949 W Clearview Blvd, Surprise, AZ 85374, USA, 85374"
"Grayhawk Golf Club - Talon Course","AZ","Scottsdale","(480) 502-1800","http://www.grayhawkgolf.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","8620 E Thompson Peak Pkwy, Scottsdale, AZ 85255, USA, 85255"
"Great Eagle Golf Club","AZ","Surprise","+16235846000","http://www.greateaglegolfclub.com","North Happy Trails Boulevard, 85388"
"Greenfield Lakes Golf Course","AZ","Gilbert","1503068273","http://www.golfgilbert.com","2484 East Warner Road, 85296"
"Haven At Haven Public Golf Club","AZ","Green Valley","520-625-4281","http://www.havengolf.com","Anza Recreational Trail, 85614"
"Highlands At Dove Mountain","AZ","Marana","520-579-9574","http://www.thehighlandsatdovemountain.com","West Desert Chicory Place, 85658"
"Hill Ridge At La Paloma Country Club","AZ","Tucson","520.299.1500","http://www.lapalomacc.com","5950 North Camino Preciado, 85718"
"Hillcrest Golf Club","AZ","Sun City West","(623) 584-1500","http://www.hillcrestgolfclub.com/","20002 N Star Ridge Dr, Sun City West, AZ 85375, USA, 85375"
"Hillcrest Golf Club At Sun City West","AZ","Sun City West","623.584.1500","http://www.hillcrestgolfclub.com/","North Star Ridge Drive, 85375"
"Hilton El Conquistador Country Club","AZ","Tucson","","","85737"
"Huukan Golf Club","AZ","Fort Mohave","2147483647","http://huukangolfclub.com/","Desert Lakes Drive, 86427"
"Iron Wolf Golf Country Club","AZ","Lake Havasu City","(928) 764-1404","http://ironwolfgcc.com","North Latrobe Road, 86404"
"Ironwood Acacia At Kierland Golf Club","AZ","Scottsdale","(480) 922-9283","http://kierlandgolf.com","East Greenway Parkway, 85254"
"Ironwood Country Club","AZ","Chandler","480-317-3600","http://www.ironoaksaz.com","532 West Champagne Drive, 85248"
"Junior National Golf Club","AZ","Goodyear","1-833-873-7746","https://tresriosgolf.com/","15205 South Golf Course Drive, 85338"
"Ken Mcdonald Golf Course","AZ","Tempe","480-878-3332","http://playkenmcdonald.com","Sun Circle Trail / Maricopa Trail, 85252"
"Kierland Golf Club","AZ","Scottsdale","(480) 922-9283","https://www.kierlandgolf.com/?utm_source=extnet&utm_medium=yext","15636 N Clubgate Dr, Scottsdale, AZ 85254, USA, 85254"
"Kino Springs Golf Course","AZ","Nogales","","","191 Kino Springs Drive, 85621"
"Kokopelli Golf Course","AZ","Gilbert","3333333333","http://www.kokopelligc.com","1800 West Guadalupe Road, 85233"
"Lake Havasu Golf Club East Course","AZ","Lake Havasu City","928-855-2719","http://www.lakehavasugolfclub.com","Firestone Place, 86406"
"Lake Havasu Golf Club West Course","AZ","Lake Havasu City","928-855-2719","http://www.lakehavasugolfclub.com","Demaret Drive, 86403"
"Lake Powell National Golf Course","AZ","Page","","http://lakepowellnationalgolfcourse.com","Clubhouse Drive, 86040"
"Lakes Dunes At Gainey Ranch Golf Club","AZ","Scottsdale","480-951-0022","http://invitedclubs.com/clubs/gainey-ranch-golf-club","7600 East Gainey Ranch Road, 85258"
"Las Barrancas Golf Course","AZ","Yuma","2147483647","http://www.lasbarrancasgolf.com","85367"
"Las Colinas Golf Club","AZ","Queen Creek","(480) 987-3633","https://lascolinasgolfaz.com/","East Village Loop Road North, 85240"
"Las Sendas Golf Club","AZ","Mesa","1 (480) 396-4000","http://lassendas.com/","7555 East Eagle Crest Drive, 85207"
"Laughlin Ranch Golf Club","AZ","Bullhead City","0549787384","http://laughlinranch.com","William Hardy Drive, 86429"
"Legend Trail Golf Club","AZ","Scottsdale","5573183931","http://legendtrailgc.com","East Cavalry Drive, 35266"
"Leisure World Golf Coyote Run Course","AZ","Mesa","+1 480 832-0000","http://golf.lwca.com","548 South Leisure World Boulevard, 85206"
"Leisure World Golf Heron Lakes Course","AZ","Mesa","+1 480 832-0000","http://golf.lwca.com","South Arroyo Drive, 85206"
"Lone Tree Golf Club","AZ","Chandler","480.219.0831","http://www.lonetreegolf18.com","South Mountain Boulevard, 85249"
"Longbow Golf Club","AZ","Mesa","5740417105","http://www.longbowgolf.com/","East Longbow Parkway, 85215"
"Lookout Mountain Golf Club","AZ","Phoenix","(602) 866-6357","https://www.lookoutmountaingolf.com/","#100 - Charles M. Christiansen Trail, 85022"
"Los Caballeros Golf Club","AZ","Wickenburg","112.7814571","http://www.loscaballerosgolf.com/","Vulture Peak Road, 85390"
"Los Lagos Golf Club","AZ","Fort Mohave","928 768 7778","http://loslagoslinks.com","6365 Curva La Mancha, 86426"
"Mcdowell Mountain Golf Club","AZ","Scottsdale","596-1651783","https://mcdowellmountaingc.com/","Taliesin Trail, 85060"
"Meadow At Forest Highlands Golf Club","AZ","Flagstaff","2100059483","http://www.fhgc.com","2425 William Palmer, 86005"
"Mesa Country Club","AZ","Mesa","16891435233","http://www.mesacountryclub.com","660 West Fairway Drive, 85201"
"Mesa Del Sol Golf Course","AZ","Yuma","928.342.1283","http://playmesadelsol.com","Calle de Cid, 85367"
"Mesquite Ironwood At Kierland Golf Club","AZ","Scottsdale","(480) 922-9283","http://kierlandgolf.com","15731 North 65th Place, 85254"
"Mirabel Golf Club","AZ","Scottsdale","(480) 437-1500","http://www.mirabel.com","37100 North Mirabel Club Drive, 85262"
"Mission Royale Golf Club","AZ","Casa Grande","1503068273","http://missionroyalegolfclub.com","2557 East Hancock Trail, 85194"
"Monument At Troon North Golf Club","AZ","Scottsdale","11495358343","http://troonnorthgolf.com","9516 East Monument Drive, 35266"
"Mountain Brook Golf Club","AZ","Gold Canyon","2999999999","http://www.mountainbrookgolf.com","South Mountainbrook Drive, 85218"
"Mountain View Golf Course","AZ","Fort Huachuca","","http://huachuca.armymwr.com","Winrow Avenue, 85670"
"Mountain View Golf Course (Military)","AZ","Sierra Vista","(520) 533-7088","https://huachuca.armymwr.com/programs/mountain-view-golf-course","15479 Indian Scout Rd, Fort Huachuca, AZ 85613, USA, 85613"
"Mountainview Country Club","AZ","Tucson","2973130479","http://www.golfsaddlebrooke.com/mountain-view-course-details/","South Mountain View Boulevard, 85739"
"Mt Graham Golf Course","AZ","Safford","928.348.3140","http://mtgrahamgolf.com","4250 West Golf Course Road, 85546"
"No 7 At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://desertmountain.com/seven","37200 North Cave Creek Road, 85262"
"North At Antelope Hills Golf Course","AZ","Prescott","928-776-7888","http://www.antelopehillsgolf.com","1 Perkins Drive, 86301"
"North At Boulders Golf Club Resort","AZ","Carefree","480.488.9028","http://www.bouldersclub.com/","1283 East Indian Basket Lane, 85377"
"North At Randolph Golf Course","AZ","Tucson","(520) 791-4653","http://tucsoncitygolf.com/randolph-north-golf-course","South Randolph Way, 85716"
"North Golf Course At Granite Falls Golf Club","AZ","Surprise","16317864989","http://livegrandaz.com/granite-falls-north","15949 West Clearview Boulevard, 85374"
"North Golf Course At Sun City","AZ","Sun City","+16238763010","http://suncityaz.org/golf-directory/north-golf-course","12650 North 107th Avenue, 85351"
"Oakcreek Country Club","AZ","Sedona","11785236000","http://www.oakcreekcc.com/","Bell Rock Boulevard, 86351"
"Ocotillo Golf Club Blue White","AZ","Chandler","3333333333","http://ocotillogolf.com","West Ocotillo Road, 85248"
"Ocotillo Golf Club Gold Blue","AZ","Chandler","3333333333","http://ocotillogolf.com","1222 West Island Drive, 85248"
"Ocotillo Golf Club White Gold","AZ","Chandler","3333333333","http://ocotillogolf.com","3751 South Clubhouse Drive, 85248"
"Omni Tucson National Golf Resort","AZ","Tucson","(520) 297-2271","https://www.omnihotels.com/hotels/tucson-national?utm_source=gmblisting&utm_medium=organic","2727 W Club Dr, Tucson, AZ 85742, USA, 85742"
"Orange Tree Golf Conference Resort","AZ","Scottsdale","6645322606","http://orangetreegolfcourse.com","North Century Lane, 85254"
"Oro Valley Country Club","AZ","Tucson","520-297-1121","http://invitedclubs.com/clubs/oro-valley-country-club","West Valle del Oro Road, 85737"
"Outlaw Course At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://www.desertmountain.com","10550 North Turquoise Lane, 85262"
"Painted Mountain Golf Club","AZ","Mesa","480.832.0156","http://www.paintedmountaingolf.com","6210 East McKellips Road, 85125"
"Palm At Mccormick Ranch Golf Club","AZ","Scottsdale","16711763072","https://mccormickranchgolf.com/","7505 East McCormick Parkway, 85258"
"Palm Valley Golf Club","AZ","Goodyear","(623) 935-2500","http://www.palmvalleygolf.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","2211 N Litchfield Rd, Goodyear, AZ 85395, USA, 85395"
"Palm Valley Golf Club North South","AZ","Goodyear","3333333333","http://palmvalleygolf.com","2772 North 136th Drive, 85395"
"Palm Valley Golf Club North West","AZ","Goodyear","3333333333","http://palmvalleygolf.com","14351 West Sheridan Street, 85395"
"Palm Valley Golf Club South West","AZ","Goodyear","3333333333","http://palmvalleygolf.com","2211 North Litchfield Road, 85395"
"Palmbrook Golf Club","AZ","Sun City","2999999999","https://www.palmbrookgolf.com/","9350 West Greenway Road, 85351"
"Palmer Course At Wildfire Golf Club At Desert Ridge","AZ","Phoenix","8252025122","http://wildfiregolf.com","5350 East Marriott Drive, 85054"
"Palms Golf Club","AZ","Littlefield","2911488145","http://virginriver.playmesquite.com/virgin-river-golf-club/","530 Peppermill Palms Boulevard, 86432"
"Palo Duro Creek Golf Course","AZ","Nogales","","","2690 N Country Club Dr, Nogales, AZ 85621, USA, 85621"
"Palo Verde Golf Course","AZ","Sun Lakes","1316687329","http://www.cottonwoodpaloverde.com","East San Tan Boulevard, 85248"
"Papago Golf Club","AZ","Phoenix","(602) 275-8428","http://www.papagogolfclub.com","5k Trail, 85005"
"Paradise Valley Country Club","AZ","Paradise Valley","(602) 840-8100","http://www.paradisevalleycc.com","7101 North Tatum Boulevard, 85253"
"Paradise Valley Golf Course","AZ","Phoenix","602-992-7190","http://paradisevalleygc.com","3505 East Union Hills Drive, 85050"
"Payson Golf Club","AZ","Payson","928-474-2273","http://paysongolfclub.com","1504 West Country Club Drive, 85541"
"Peaks At Tonto Verde Golf Club","AZ","Rio Verde","480.471.2582","http://www.tontoverde.org","18401 East El Circulo Drive, 85263"
"Pebblebrook Golf Course","AZ","Sun City West","3333333333","http://suncitywest.com/pebblebrookgolfcourse","North 128th Avenue, 85378"
"Peoria Pines Golf Club","AZ","Peoria","(623) 972-1364","http://www.peoriapines.com","8411 North 107th Avenue, 85345"
"Phoenix Country Club 1","AZ","Phoenix","928-532-8000","http://www.phoenixcountryclub.com","East Country Club Drive, 82158"
"Pine At Mccormick Ranch Golf Club","AZ","Scottsdale","16711763072","https://mccormickranchgolf.com/","7505 East McCormick Parkway, 85258"
"Pine Canyon Club","AZ","Flagstaff","7626024165","http://facebook.com/pinecanyongolf","2998 South Clubhouse Circle, 86005"
"Pinetop Country Club","AZ","Pinetop","928-369-4375","http://pinetopcc.com","Cinder Mountain Drive, 85935"
"Pinetop Lakes Golf Country Club","AZ","Pinetop","(928) 369-4531","http://www.pinetoplakesgolf.com","4643 Buck Springs Road, 85935"
"Pinewood Country Club","AZ","Munds Park","1202590882","http://pinewoodcountryclubaz.com","395 Pinewood Boulevard, 86017"
"Pinnacle At Troon North Golf Club","AZ","Scottsdale","11495358343","http://troonnorthgolf.com","29705 North 102nd Street, 35266"
"Pinnacle Peak Country Club","AZ","Scottsdale","1323804656","http://www.pp-cc.org","East Vista del Lago, 85299"
"Poston Butte Golf Club","AZ","Florence","(520) 723-1880","http://www.postonbutte.com/","West Merrill Ranch Parkway, 85132"
"Power Ranch Golf Club","AZ","Gilbert","5740417105","https://www.powerranchgolfclub.com/","South Peach Willow Lane, 85412"
"Prescott Golf Club","AZ","Dewey","16832961125","https://www.prescottgolfclub.com/","1147 Tapadero Drive, 86327"
"Preserve Golf Course","AZ","Tucson","1753373965","http://www.robson.com/communities/the-preserve/","East Catalina Hills Drive, 85739"
"Private golf course","AZ","Cave Creek","","https://www.goprivategolf.com/","85331"
"Private golf course","AZ","Phoenix","","https://www.goprivategolf.com/","85087"
