name,state,city
Stoneybrook Golf Club-Estero,FL,Estero
Hammock Dunes Links Course,FL,Palm Coast
Creek Course,FL,Palm Coast
Greynolds Golf Course,FL,North Miami Beach
The Club at Renaissance,FL,Fort Myers
Grand Reserve Golf Course,FL,Bunnell
West,FL,Hialeah
PGA National Resort,FL,Palm Beach Gardens
Isleworth Country Club,FL,Windermere
Ocean Breeze Golf & Country Club,FL,Boca Raton
Baytree National,FL,Melbourne
A.C. Read Golf Course,FL,Pensacola
MetroWest Golf Club,FL,Orlando
Ponte Vedra Golf Course,FL,Ponte Vedra Beach
The Plantation at Ponte Vedra Beach,FL,Palm Valley
The Yards,FL,Ponte Vedra Beach
Glen Kernan Golf Course,FL,Jacksonville
Jacksonville Golf & Country Club,FL,Jacksonville
Lost Key Golf Club,FL,Pensacola
Windsor Parke Golf Club,FL,Jacksonville
Hidden Hills Country Club,FL,Jacksonville
Atlantic Beach Country Club,FL,Atlantic Beach
Jacksonville Beach Golf Club,FL,Jacksonville Beach
Timuquana Country Club,FL,Jacksonville
Naval Air Station Jacksonville Golf Course,FL,Jacksonville
Tranquilo Golf Course,FL,Bay Lake
West Orange Country Club,FL,Winter Garden
Errol Estate Golf & Country Club,FL,Apopka
Gator Lakes Golf Course,FL,Hurlburt Field
Indian Bayou Golf & Country Club,FL,Destin
Cleveland Heights Golf Course,FL,Lakeland
PGA The Estates,FL,West Palm Beach
Dunedin Stirling Links,FL,Dunedin
Forest Glen Golf & Country Club,FL,Naples
Miona Lake Golf Club,FL,Wildwood
Ocala Palms Golf & Country Club,FL,Ocala
Lakes of Lady Lake Golf Course,FL,Lady Lake
Bonita Bay Club West,FL,Bonita Springs
Sebring Municipal Golf Course,FL,Sebring
Turtle Run Course,FL,Sebring
Deer Run Course,FL,Sebring
Highland Fairways Golf Club,FL,Lakeland
The Hamptons Golf Club,FL,Auburndale
The Reserve,FL,Kissimmee
Kings Ridge Golf Club - Ridge Course,FL,Clermont
Grand Harbor - Harbor Course,FL,Vero Beach
Quail Ridge Country Club - North Course,FL,Boynton Beach
Kings Point Executive Golf Course,FL,Delray Beach
Havana Country Club,FL,Havana
PGA National Resort Palmer course,FL,Palm Beach Gardens
PGA National Resort Fazio course,FL,Palm Beach Gardens
Cedar Hammock Golf & Country Club,FL,Naples
Naples Heritage Golf & Country Club,FL,Naples
Timber Pines Country Club,FL,Spring Hill
Boca Delray Golf & Country Club,FL,Delray Beach
Bocaire Country Club,FL,Boca Raton
The Polo Club Boca Raton,FL,Boca Raton
Cheval Golf & Country Club,FL,Lutz
Northdale Golf & Tennis Club,FL,Tampa
Babe Zaharias Golf Course,FL,Tampa
Lakewood Country Club of Naples,FL,Naples
Harbourside Golf Course (Longboat Key Club),FL,Longboat Key
Marsh Creek Country Club,FL,St. Augustine
Talis Park Golf Club,FL,Naples
Glen Eagle Golf & Country Club,FL,Naples
The Champions Club,FL,Stuart
Bonita Bay East,FL,Naples
Heritage Bay Golf and Country Club,FL,Naples
The Golf Lodge at the Quarry,FL,Naples
Naples Lakes Country Club,FL,Naples
Mustang Course at Lely Resort,FL,Naples
TPC Treviso Bay,FL,Naples
Hibiscus Golf Club,FL,Naples
Grey Oaks Country Club,FL,Naples
Kensington Golf & Country Club,FL,Naples
Country Club of Naples,FL,Naples
Quail Run Golf Club,FL,Naples
Valencia Golf & Country Club,FL,Naples
Killearn Country Club & Inn,FL,Tallahassee
Pelican Marsh Golf Club,FL,Naples
Tiburón Golf Club,FL,Naples
The Country Club of Mount Dora,FL,Mt Dora
Bay Colony Golf Club,FL,Naples
Windstar on Naples Bay,FL,Naples
IMG Academy Golf Club,FL,Bradenton
Saint Petersburg Country Club,FL,St. Petersburg
Hideout Golf Club,FL,Naples
Wyndemere Country Club,FL,Naples
Monterey Yacht & Country Club,FL,Stuart
Bear Lakes Country Club,FL,West Palm Beach
Banyan Cay,FL,West Palm Beach
Ocean Course at The Breakers,FL,Palm Beach
Deer Creek Golf Club,FL,Deerfield Beach
Royal Palm Yacht & Country Club,FL,Boca Raton
The Ocean Club at Hutchinson Island Marriott Beach Resort,FL,Stuart
BallenIsles,FL,Palm Beach Gardens
Blue Sky Golf Club,FL,Jacksonville
Boca West,FL,Boca Raton
Windsor Club,FL,INDN RIV SHRS
Quarry Course,FL,Lecanto
Jupiter Dunes,FL,Jupiter
Seminole Lakes Golf Course,FL,Punta Gorda
The Golf Club of Amelia Island,FL,Fernandina Beach
Pointe West Country Club,FL,Vero Beach
The River Club,FL,Lakewood Ranch
River Ridge Golf and Country Club,FL,New Port Richey
Timber Greens Golf and Country Club,FL,New Port Richey
Lexington Oaks Golf Club,FL,Wesley Chapel
Golden Eagle Golf Course,FL,Tallahassee
Blackwater Golf Club,FL,Crestview
Signal Hills Golf course,FL,Panama City
Rivard Golf Club,FL,Brooksville
Boca Royale Club,FL,Englewood
Panther National,FL,Palm Beach Gardens
Esplanade Golf,FL,Naples
Crystal Lake Club,FL,Avon Park
Palencia Golf Course,FL,St. Augustine
Buffalo Creek Golf Course,FL,Palmetto
Hidden Lake Park,FL,Boca Raton
North Course,FL,Tampa
Congo River Golf,FL,Bonita Springs
Skyview golf course,FL,Lakeland
16 holes,FL,Four Corners
5 holes,FL,Kissimmee
Brentwood,FL,Lecanto
UNF,FL,Jacksonville
The Clutch,FL,Captiva
Candler Hills Hole 4,FL,Ocala
Candler Hills Hole 3,FL,Ocala
Candler Hills Hole 2,FL,Ocala
Candler Hills Hole 1,FL,Ocala
East Lake Community Church,FL,Eustis
Camp Phosphate Co #1,FL,Citrus Springs
Crane's Bend,FL,Kissimmee
Legends Walk,FL,Kissimmee
Twin Brooks Golf Course and Driving Range,FL,St. Petersburg
Practice Disc Golf Course,FL,Freeport
Margate Executive Golf Course,FL,Margate
Kings Point Par 3 Course,FL,Delray Beach
Crystal Lake Country Club - Tam O'Shanter Golf Course (closed),FL,Pompano Beach
